Notes,County,County Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,48,975679,4.9
,"Baldwin County, AL",1003,127,3316841,3.8
,"Barbour County, AL",1005,40,524875,7.6
,"Bibb County, AL",1007,35,420148,8.3
,"Blount County, AL",1009,60,1055789,5.7
,"Bullock County, AL",1011,23,207893,11.1
,"Butler County, AL",1013,54,393446,13.7
,"Calhoun County, AL",1015,234,2189206,10.7
,"Chambers County, AL",1017,57,662645,8.6
,"Cherokee County, AL",1019,24,480944,5
,"Chilton County, AL",1021,44,807006,5.5
,"Choctaw County, AL",1023,28,271266,10.3
,"Clarke County, AL",1025,39,496992,7.8
,"Clay County, AL",1027,12,264370,
,"Cleburne County, AL",1029,27,278629,9.7
,"Coffee County, AL",1031,30,909426,3.3
,"Colbert County, AL",1033,57,1035363,5.5
,"Conecuh County, AL",1035,29,252529,11.5
,"Coosa County, AL",1037,20,215538,9.3
,"Covington County, AL",1039,35,712542,4.9
,"Crenshaw County, AL",1041,25,263078,9.5
,"Cullman County, AL",1043,43,1513843,2.8
,"Dale County, AL",1045,54,940798,5.7
,"Dallas County, AL",1047,178,829613,21.5
,"DeKalb County, AL",1049,52,1309494,4
,"Elmore County, AL",1051,93,1436208,6.5
,"Escambia County, AL",1053,70,720896,9.7
,"Etowah County, AL",1055,144,1967533,7.3
,"Fayette County, AL",1057,17,332986,
,"Franklin County, AL",1059,22,595564,3.7
,"Geneva County, AL",1061,35,499601,7
,"Greene County, AL",1063,26,175560,14.8
,"Hale County, AL",1065,38,307035,12.4
,"Henry County, AL",1067,25,321703,7.8
,"Houston County, AL",1069,103,1855300,5.6
,"Jackson County, AL",1071,49,1011103,4.8
,"Jefferson County, AL",1073,2163,12513832,17.3
,"Lauderdale County, AL",1077,89,1724673,5.2
,"Lawrence County, AL",1079,38,647747,5.9
,"Lee County, AL",1081,203,2579698,7.9
,"Limestone County, AL",1083,70,1498773,4.7
,"Lowndes County, AL",1085,54,224284,24.1
,"Macon County, AL",1087,103,409922,25.1
,"Madison County, AL",1089,364,6073525,6
,"Marengo County, AL",1091,36,401817,9
,"Marion County, AL",1093,26,580989,4.5
,"Marshall County, AL",1095,56,1703998,3.3
,"Mobile County, AL",1097,1122,7735541,14.5
,"Monroe County, AL",1099,46,439004,10.5
,"Montgomery County, AL",1101,699,4296734,16.3
,"Morgan County, AL",1103,118,2210213,5.3
,"Perry County, AL",1105,24,202810,11.8
,"Pickens County, AL",1107,19,384304,
,"Pike County, AL",1109,48,603130,8
,"Randolph County, AL",1111,37,429749,8.6
,"Russell County, AL",1113,134,1011681,13.2
,"St. Clair County, AL",1115,69,1482453,4.7
,"Shelby County, AL",1117,115,3465592,3.3
,"Sumter County, AL",1119,31,263214,11.8
,"Talladega County, AL",1121,150,1544702,9.7
,"Tallapoosa County, AL",1123,67,783416,8.6
,"Tuscaloosa County, AL",1125,280,3539810,7.9
,"Walker County, AL",1127,89,1284664,6.9
,"Washington County, AL",1129,27,331350,8.1
,"Wilcox County, AL",1131,38,227689,16.7
,"Winston County, AL",1133,27,464198,5.8
,"Anchorage Borough, AK",2020,378,5380997,7
,"Bethel Census Area, AK",2050,43,323171,13.3
,"Fairbanks North Star Borough, AK",2090,108,1774155,6.1
,"Juneau Borough, AK",2110,13,597584,
,"Kenai Peninsula Borough, AK",2122,34,1026542,3.3
,"Ketchikan Gateway Borough, AK",2130,13,258780,
,"Matanuska-Susitna Borough, AK",2170,84,1566569,5.4
,"Nome Census Area, AK",2180,16,180308,
,"North Slope Borough, AK",2185,14,166051,
,"Northwest Arctic Borough, AK",2188,11,142364,
,"Wade Hampton Census Area, AK",2270,29,142767,20.3
,"Yukon-Koyukuk Census Area, AK",2290,26,119030,21.8
,"Apache County, AZ",4001,190,1336111,14.2
,"Cochise County, AZ",4003,119,2387736,5
,"Coconino County, AZ",4005,165,2470654,6.7
,"Gila County, AZ",4007,89,998556,8.9
,"Graham County, AZ",4009,35,674993,5.2
,"La Paz County, AZ",4012,28,383297,7.3
,"Maricopa County, AZ",4013,5331,70177615,7.6
,"Mohave County, AZ",4015,238,3598927,6.6
,"Navajo County, AZ",4017,221,1992400,11.1
,"Pima County, AZ",4019,1385,17966184,7.7
,"Pinal County, AZ",4021,370,5856419,6.3
,"Santa Cruz County, AZ",4023,31,837911,3.7
,"Yavapai County, AZ",4025,153,3826552,4
,"Yuma County, AZ",4027,143,3538257,4
,"Arkansas County, AR",5001,36,368977,9.8
,"Ashley County, AR",5003,30,423145,7.1
,"Baxter County, AR",5005,21,766195,2.7
,"Benton County, AR",5007,92,3925438,2.3
,"Boone County, AR",5009,36,685449,5.3
,"Bradley County, AR",5011,19,222701,
,"Carroll County, AR",5015,19,509002,
,"Chicot County, AR",5017,37,233110,15.9
