Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by handgun discharge,X93,14,657518,
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,67,657518,10.2
,"Jefferson County, AL",1073,Assault by sharp object,X99,10,657518,
,"Mobile County, AL",1097,Assault by handgun discharge,X93,23,398549,5.8
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,21,398549,5.3
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,24,223185,10.8
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,12,268229,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,239,3255388,7.3
,"Maricopa County, AZ",4013,Assault by sharp object,X99,18,3255388,
,"Maricopa County, AZ",4013,Assault by crashing of motor vehicle,Y03,11,3255388,
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,21,3255388,0.6
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,60,874267,6.9
,"Pima County, AZ",4019,Assault by sharp object,X99,14,874267,
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,11,197082,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,37,364327,10.2
,"Alameda County, CA",6001,Assault by handgun discharge,X93,64,1462106,4.4
,"Alameda County, CA",6001,"Assault by rifle, shotgun and larger firearm discharge",X94,14,1462106,
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,32,1462106,2.2
,"Alameda County, CA",6001,Assault by sharp object,X99,15,1462106,
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,16,979862,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,29,979862,3
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,47,829762,5.7
,"Fresno County, CA",6019,Assault by sharp object,X99,10,829762,
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,25,694059,3.6
,"Kern County, CA",6029,Assault by sharp object,X99,14,694059,
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,27,9705913,0.3
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,107,9705913,1.1
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,30,9705913,0.3
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,794,9705913,8.2
,"Los Angeles County, CA",6037,Assault by sharp object,X99,78,9705913,0.8
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,52,9705913,0.5
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,25,9705913,0.3
,"Monterey County, CA",6053,Assault by handgun discharge,X93,14,408977,
,"Orange County, CA",6059,Assault by handgun discharge,X93,34,2908245,1.2
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,27,2908245,0.9
