Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,Assault by handgun discharge,X93,39,4858979,0.8
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,15,4858979,
,Alabama,1,Assault by other and unspecified firearm discharge,X95,337,4858979,6.9
,Alabama,1,Assault by sharp object,X99,31,4858979,0.6
,Alabama,1,Assault by unspecified means,Y09,29,4858979,0.6
Total,Alabama,1,,,473,4858979,9.7
,Alaska,2,Assault by other and unspecified firearm discharge,X95,33,738432,4.5
Total,Alaska,2,,,62,738432,8.4
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,13,6828065,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,223,6828065,3.3
,Arizona,4,Assault by sharp object,X99,36,6828065,0.5
,Arizona,4,Assault by unspecified means,Y09,57,6828065,0.8
Total,Arizona,4,,,364,6828065,5.3
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,147,2978204,4.9
,Arkansas,5,Assault by sharp object,X99,20,2978204,0.7
,Arkansas,5,Assault by unspecified means,Y09,20,2978204,0.7
Total,Arkansas,5,,,217,2978204,7.3
,California,6,"Assault by hanging, strangulation and suffocation",X91,57,39144818,0.1
,California,6,Assault by handgun discharge,X93,226,39144818,0.6
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,55,39144818,0.1
,California,6,Assault by other and unspecified firearm discharge,X95,1115,39144818,2.8
,California,6,"Assault by smoke, fire and flames",X97,10,39144818,
,California,6,Assault by sharp object,X99,245,39144818,0.6
,California,6,Assault by blunt object,Y00,11,39144818,
,California,6,Assault by bodily force,Y04,12,39144818,
,California,6,By unspecified person,Y07.9,11,39144818,
,California,6,Assault by other specified means,Y08,10,39144818,
,California,6,Assault by unspecified means,Y09,187,39144818,0.5
,California,6,Sequelae of assault,Y87.1,26,39144818,0.1
Total,California,6,,,1987,39144818,5.1
,Colorado,8,Assault by other and unspecified firearm discharge,X95,124,5456574,2.3
,Colorado,8,Assault by sharp object,X99,20,5456574,0.4
,Colorado,8,Assault by unspecified means,Y09,26,5456574,0.5
Total,Colorado,8,,,206,5456574,3.8
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,77,3590886,2.1
,Connecticut,9,Assault by sharp object,X99,16,3590886,
,Connecticut,9,Assault by unspecified means,Y09,14,3590886,
Total,Connecticut,9,,,124,3590886,3.5
,Delaware,10,Assault by other and unspecified firearm discharge,X95,53,945934,5.6
Total,Delaware,10,,,65,945934,6.9
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,105,672228,15.6
,District of Columbia,11,Assault by sharp object,X99,21,672228,3.1
Total,District of Columbia,11,,,136,672228,20.2
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,49,20271272,0.2
,Florida,12,Assault by handgun discharge,X93,118,20271272,0.6
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,17,20271272,
,Florida,12,Assault by other and unspecified firearm discharge,X95,745,20271272,3.7
,Florida,12,Assault by sharp object,X99,93,20271272,0.5
