Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by drugs, medicaments and biological substances",X85,14,88891578,
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,203,88891578,0.2
,Alabama,1,Assault by drowning and submersion,X92,22,88891578,0
,Alabama,1,Assault by handgun discharge,X93,589,88891578,0.7
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,392,88891578,0.4
,Alabama,1,Assault by other and unspecified firearm discharge,X95,5321,88891578,6
,Alabama,1,"Assault by smoke, fire and flames",X97,41,88891578,0
,Alabama,1,Assault by sharp object,X99,774,88891578,0.9
,Alabama,1,Assault by blunt object,Y00,46,88891578,0.1
,Alabama,1,Assault by crashing of motor vehicle,Y03,16,88891578,
,Alabama,1,Assault by bodily force,Y04,13,88891578,
,Alabama,1,By unspecified person,Y06.9,14,88891578,
,Alabama,1,By unspecified person,Y07.9,32,88891578,0
,Alabama,1,Assault by other specified means,Y08,86,88891578,0.1
,Alabama,1,Assault by unspecified means,Y09,744,88891578,0.8
,Alabama,1,Sequelae of assault,Y87.1,26,88891578,0
Total,Alabama,1,,,8348,88891578,9.4
,Alaska,2,"Assault by hanging, strangulation and suffocation",X91,40,13100743,0.3
,Alaska,2,Assault by handgun discharge,X93,13,13100743,
,Alaska,2,"Assault by rifle, shotgun and larger firearm discharge",X94,37,13100743,0.3
,Alaska,2,Assault by other and unspecified firearm discharge,X95,444,13100743,3.4
,Alaska,2,"Assault by smoke, fire and flames",X97,11,13100743,
,Alaska,2,Assault by sharp object,X99,101,13100743,0.8
,Alaska,2,By unspecified person,Y07.9,11,13100743,
,Alaska,2,Assault by other specified means,Y08,27,13100743,0.2
,Alaska,2,Assault by unspecified means,Y09,116,13100743,0.9
Total,Alaska,2,,,831,13100743,6.3
,Arizona,4,"Assault by drugs, medicaments and biological substances",X85,27,116207661,0
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,265,116207661,0.2
,Arizona,4,Assault by drowning and submersion,X92,23,116207661,0
,Arizona,4,Assault by handgun discharge,X93,82,116207661,0.1
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,304,116207661,0.3
,Arizona,4,Assault by other and unspecified firearm discharge,X95,5313,116207661,4.6
,Arizona,4,"Assault by smoke, fire and flames",X97,30,116207661,0
,Arizona,4,Assault by sharp object,X99,949,116207661,0.8
,Arizona,4,Assault by blunt object,Y00,33,116207661,0
,Arizona,4,Assault by pushing or placing victim before moving object,Y02,20,116207661,0
,Arizona,4,Assault by crashing of motor vehicle,Y03,45,116207661,0
,Arizona,4,Assault by bodily force,Y04,32,116207661,0
,Arizona,4,By unspecified person,Y06.9,11,116207661,
,Arizona,4,By unspecified person,Y07.9,62,116207661,0.1
,Arizona,4,Assault by other specified means,Y08,162,116207661,0.1
,Arizona,4,Assault by unspecified means,Y09,1019,116207661,0.9
,Arizona,4,Sequelae of assault,Y87.1,108,116207661,0.1
Total,Arizona,4,,,8505,116207661,7.3
,Arkansas,5,"Assault by drugs, medicaments and biological substances",X85,15,54119666,
,Arkansas,5,"Assault by hanging, strangulation and suffocation",X91,137,54119666,0.3
,Arkansas,5,Assault by handgun discharge,X93,121,54119666,0.2
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,267,54119666,0.5
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,2439,54119666,4.5
,Arkansas,5,"Assault by smoke, fire and flames",X97,25,54119666,0
,Arkansas,5,Assault by sharp object,X99,474,54119666,0.9
,Arkansas,5,Assault by blunt object,Y00,25,54119666,0
,Arkansas,5,Assault by crashing of motor vehicle,Y03,13,54119666,
,Arkansas,5,By unspecified person,Y07.9,23,54119666,0
,Arkansas,5,Assault by other specified means,Y08,62,54119666,0.1
,Arkansas,5,Assault by unspecified means,Y09,421,54119666,0.8
,Arkansas,5,Sequelae of assault,Y87.1,40,54119666,0.1
Total,Arkansas,5,,,4101,54119666,7.6
,California,6,Terrorism involving destruction of aircraft,U01.1,45,697268717,0
,California,6,"Assault by drugs, medicaments and biological substances",X85,115,697268717,0
,California,6,Assault by gases and vapours,X88,27,697268717,0
,California,6,"Assault by hanging, strangulation and suffocation",X91,1248,697268717,0.2
,California,6,Assault by drowning and submersion,X92,113,697268717,0
,California,6,Assault by handgun discharge,X93,5126,697268717,0.7
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,1412,697268717,0.2
,California,6,Assault by other and unspecified firearm discharge,X95,22666,697268717,3.3
,California,6,"Assault by smoke, fire and flames",X97,158,697268717,0
,California,6,Assault by sharp object,X99,4838,697268717,0.7
,California,6,Assault by blunt object,Y00,254,697268717,0
,California,6,Assault by pushing from high place,Y01,20,697268717,0
,California,6,Assault by crashing of motor vehicle,Y03,152,697268717,0
,California,6,Assault by bodily force,Y04,234,697268717,0
,California,6,By unspecified person,Y06.9,48,697268717,0
,California,6,By other specified persons,Y07.8,10,697268717,
,California,6,By unspecified person,Y07.9,351,697268717,0.1
,California,6,Assault by other specified means,Y08,507,697268717,0.1
,California,6,Assault by unspecified means,Y09,3251,697268717,0.5
,California,6,Sequelae of assault,Y87.1,785,697268717,0.1
Total,California,6,,,41417,697268717,5.9
,Colorado,8,"Assault by drugs, medicaments and biological substances",X85,18,93127301,
,Colorado,8,"Assault by hanging, strangulation and suffocation",X91,172,93127301,0.2
,Colorado,8,Assault by drowning and submersion,X92,10,93127301,
,Colorado,8,Assault by handgun discharge,X93,178,93127301,0.2
,Colorado,8,"Assault by rifle, shotgun and larger firearm discharge",X94,156,93127301,0.2
,Colorado,8,Assault by other and unspecified firearm discharge,X95,1839,93127301,2
,Colorado,8,"Assault by smoke, fire and flames",X97,13,93127301,
,Colorado,8,Assault by sharp object,X99,488,93127301,0.5
